2000|6|CASH_ADVANCE|Y|Y|N|N||2005-06-21 18:11:00
2001|6|PAYMENT|N|N|N|N||2005-06-21 18:11:00
2002|6|REPORT|Y|Y|N|N||2005-06-21 18:11:00
2003|6|TRAVEL_REQUEST|Y|Y|N|N||2005-06-21 18:11:00
2010|7|CASH_ADVANCE|Y|Y|N|N||2005-06-24 15:50:00
2011|7|PAYMENT|N|N|N|N||2005-06-24 15:50:00
2012|7|REPORT|Y|Y|N|N||2005-06-24 15:50:00
2013|7|TRAVEL_REQUEST|Y|Y|N|N||2005-06-24 15:50:00
2026|6|PURCH_REQUEST|Y|Y|N|Y||2013-03-23 02:06:00
2027|7|PURCH_REQUEST|Y|Y|N|Y||2013-03-23 02:06:00
2028|2321|BDGT_REPORT|N|N|N|Y||2017-07-27 16:08:00
2029|2321|BDGT_REQUEST|Y|Y|N|Y||2017-07-27 16:08:00
2030|2321|CASH_ADVANCE|Y|Y|N|Y||2017-07-27 16:08:00
2031|2321|CO_PAYMENT|N|N|N|Y||2017-07-27 16:08:00
2032|2321|CO_PURCHASE|N|N|N|Y||2017-07-27 16:08:00
2033|2321|CO_REPORT|N|N|N|Y||2017-07-27 16:08:00
2034|2321|CO_REQUEST|N|N|N|Y||2017-07-27 16:08:00
2035|2321|PAYMENT|Y|Y|N|Y||2017-07-27 16:08:00
2036|2321|PURCH_ORDER|N|N|N|Y||2017-07-27 16:08:00
2037|2321|PURCH_REQUEST|Y|Y|N|Y||2017-07-27 16:08:00
2038|2321|REPORT|Y|Y|N|Y||2017-07-27 16:08:00
2039|2321|REQUEST|Y|Y|N|Y||2017-07-27 16:08:00
2040|2321|TRAVEL_REQUEST|Y|Y|N|Y||2017-07-27 16:08:00
2041|2322|BDGT_REPORT|N|N|N|Y||2017-07-27 16:13:00
2042|2322|BDGT_REQUEST|Y|Y|N|Y||2017-07-27 16:13:00
2043|2322|CASH_ADVANCE|Y|Y|N|Y||2017-07-27 16:13:00
2044|2322|CO_PAYMENT|N|N|N|Y||2017-07-27 16:13:00
2045|2322|CO_PURCHASE|N|N|N|Y||2017-07-27 16:13:00
2046|2322|CO_REPORT|N|N|N|Y||2017-07-27 16:13:00
2047|2322|CO_REQUEST|N|N|N|Y||2017-07-27 16:13:00
2048|2322|PAYMENT|Y|Y|N|Y||2017-07-27 16:13:00
2049|2322|PURCH_ORDER|N|N|N|Y||2017-07-27 16:13:00
2050|2322|PURCH_REQUEST|Y|Y|N|Y||2017-07-27 16:13:00
2051|2322|REPORT|Y|Y|N|Y||2017-07-27 16:13:00
2052|2322|REQUEST|Y|Y|N|Y||2017-07-27 16:13:00
2053|2322|TRAVEL_REQUEST|Y|Y|N|Y||2017-07-27 16:13:00
2054|2323|BDGT_REPORT|N|N|N|Y||2017-07-27 16:19:00
2055|2323|BDGT_REQUEST|Y|Y|N|Y||2017-07-27 16:19:00
2056|2323|CASH_ADVANCE|Y|Y|N|Y||2017-07-27 16:19:00
2057|2323|CO_PAYMENT|N|N|N|Y||2017-07-27 16:19:00
2058|2323|CO_PURCHASE|N|N|N|Y||2017-07-27 16:19:00
2059|2323|CO_REPORT|N|N|N|Y||2017-07-27 16:19:00
2060|2323|CO_REQUEST|N|N|N|Y||2017-07-27 16:19:00
2061|2323|PAYMENT|Y|Y|N|Y||2017-07-27 16:19:00
2062|2323|PURCH_ORDER|N|N|N|Y||2017-07-27 16:19:00
2063|2323|PURCH_REQUEST|Y|Y|N|Y||2017-07-27 16:19:00
